index,tool,2022_users,2022_meantools,2021_users,2021_meantools,2020_users,2020_meantools,2019_users,2019_meantools,2018_users,2018_meantools,2017_users,2017_meantools,total_users,absolutegrowth,percgrowth_responders,percgrowth_toolusage
0,23degrees,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1,3d prints,0,0,0,0,0,0,0,0,0,0,1,13,1,-1,-0.102040816,-0.02168727
2,a,0,0,0,0,1,1.617283951,0,0,0,0,0,0,1,0,0,0
3,ad-hoc,0,0,0,0,0,0,0,0,0,0,1,3,1,-1,-0.102040816,-0.02168727
4,adobe,0,0,2,2.8,1,2.333333333,0,0,0,0,0,0,3,0,0,0
5,adobe adobe after effects,0,0,2,4.5,0,0,0,0,0,0,0,0,2,0,0,0
6,adobe after effects,3,1,3,3,1,3,1,4,0,0,1,8,9,2,-0.100127551,-0.021271181
7,adobe analytics,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0.000637755,0.000138696
8,adobe freeh,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
9,adobe indesign,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000637755,0.000138696
10,adobe indesign for merging data,0,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0
11,adobe photoshop,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
12,adobe spark,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
13,adobe xd,2,1.5,4,1.5,3,2.333333333,3,7.333333333,0,0,0,0,12,2,0.00127551,0.000277393
14,aerialod,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000637755,0.000138696
15,affinity designer,0,0,3,1.666666667,2,1,2,6.5,0,0,1,6,8,-1,-0.102040816,-0.02168727
16,affinity suite,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000637755,0.000138696
17,a-frame,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
18,agency analytics,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000637755,0.000138696
19,ag-grid-charts,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0.000637755,0.000138696
20,airtable,2,3.5,0,0,0,0,0,0,0,0,0,0,2,2,0.00127551,0.000277393
21,also,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
22,altafx design,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
23,altair,2,3.333333333,2,2.5,6,1.166666667,3,6.666666667,1,5,0,0,14,2,0.00127551,0.000277393
24,alteryx,2,1,5,1.2,4,1,5,4,0,0,1,3,17,1,-0.100765306,-0.021409877
25,amazon quicksight,1,1,2,1,1,1,0,0,0,0,0,0,4,1,0.000637755,0.000138696
26,amcharts,1,1,2,1,1,2,2,4,1,5,0,0,7,1,0.000637755,0.000138696
27,amplitude,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
