tool,2022_users,2022_mediantools,2022_meantools,2021_users,2021_mediantools,2021_meantools,2020_users,2020_mediantools,2020_meantools,2019_users,2019_mediantools,2019_meantools,2018_users,2018_mediantools,2018_meantools,2017_users,2017_mediantools,2017_meantools,total_users
,3.0,1.0,1.2454545454545454,8.0,1.0,1.3210526315789475,7.0,1.0,1.3344827586206895,1.0,4.0,4.938745387453874,,,,1.0,4.0,4.707142857142857,20.0
-lite,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.5,,,,,,,,,,4.0
.de altair,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
23degrees,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
3d prints,,,,,,,,,,,,,,,,1.0,13.0,13.0,1.0
a,,,,,,,1.0,1.0,1.5235294117647058,,,,,,,,,,1.0
a-frame,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
ad-hoc,,,,,,,,,,,,,,,,1.0,3.0,3.0,1.0
adobe,,,,2.0,2.0,2.0833333333333335,1.0,2.0,2.2,,,,,,,,,,3.0
adobe after effects,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
adobe analytics,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0
adobe freeh,,,,,,,1.0,2.0,2.0,,,,,,,,,,1.0
adobe indesign,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
adobe photoshop,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
adobe spark,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
adobe xd,2.0,1.5,1.5,4.0,1.5,1.5,2.0,2.0,2.3333333333333335,3.0,6.0,7.333333333333333,,,,,,,11.0
adobe xd for wireframing,,,,,,,1.0,4.0,4.0,,,,,,,,,,1.0
aerialod,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
affinity designer,,,,3.0,1.0,1.6666666666666667,2.0,1.0,1.0,2.0,6.5,6.5,,,,1.0,6.0,6.0,8.0
affinity suite,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
after effects,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,,,,1.0,8.0,8.0,9.0
ag-grid-charts,1.0,2.0,2.0,,,,,,,,,,,,,,,,1.0
agency analytics,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
airtable,2.0,3.5,3.5,,,,,,,,,,,,,,,,2.0
altafx design,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
altair,2.0,4.0,3.0,2.0,2.5,2.5,5.0,1.0,1.1666666666666667,2.0,6.0,6.666666666666667,1.0,5.0,5.0,,,,12.0
altair (python),,,,,,,,,,1.0,6.0,6.0,,,,,,,1.0
altair-viz,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
alteryx,2.0,1.0,1.0,5.0,1.0,1.2,4.0,1.0,1.0,5.0,5.0,4.0,,,,1.0,3.0,3.0,17.0
am harts,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
amazon quicksight,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,4.0
amcharts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,5.0,5.0,,,,6.0
amplitude,,,,,,,1.0,2.0,2.0,,,,,,,,,,1.0
anadot infer looker domo,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
angular,2.0,1.5,1.5,20.0,6.5,7.6,33.0,8.0,7.303030303030303,53.0,7.0,7.528301886792453,41.0,7.0,7.658536585365853,71.0,7.0,7.563380281690141,220.0
animate cc,,,,,,,,,,1.0,3.0,3.0,,,,,,,1.0
anychart,2.0,1.0,1.0,,,,,,,,,,,,,1.0,9.0,9.0,3.0
anycharts,,,,,,,,,,,,,1.0,5.0,5.0,,,,1.0
apache echart,,,,1.0,1.5,1.5,,,,,,,,,,,,,1.0
apache echarts,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
apache superset,2.0,1.0,1.0,,,,,,,1.0,5.0,5.0,,,,,,,3.0
aplpy,,,,,,,,,,1.0,5.0,5.0,,,,,,,1.0
applescript - mysql,,,,,,,,,,,,,,,,1.0,3.0,3.0,1.0
ar,,,,,,,1.0,2.0,1.9047619047619047,,,,,,,,,,1.0
arcadia data,,,,,,,,,,1.0,6.0,6.0,,,,,,,1.0
arcgis,133.0,7.0,7.962406015037594,147.0,7.0,7.3061224489795915,,,,141.0,6.0,7.127659574468085,51.0,7.0,7.2745098039215685,71.0,6.0,6.197183098591549,543.0
arcmap,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0
arcviz,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
argos,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
as a designer,,,,1.0,3.0,3.0,,,,,,,,,,,,,1.0
astrato,1.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,3.0
astro tools,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
atlas.ti,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
autodesk maya,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
avenza geographic imager,1.0,3.0,3.0,,,,,,,,,,,,,,,,1.0
avenza mapublisher,1.0,3.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,2.0
aviation company rockwell collins aerospace,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
aws quicksight,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
axure,1.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,11.0,11.0,,,,,,,3.0
barbwin,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
befunky,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
biorender,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
birst,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0
blender,2.0,2.0,2.0,1.0,4.0,4.0,2.0,2.5,2.5,1.0,10.0,10.0,,,,1.0,13.0,13.0,7.0
bo,,,,,,,,,,1.0,7.0,7.923766816143497,,,,,,,1.0
bodymovin. maps4news. map shaper.,,,,1.0,3.0,3.0,,,,,,,,,,,,,1.0
bokeh,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,2.8,4.0,5.0,5.5,,,,1.0,7.0,7.0,12.0
britecharts,,,,,,,,,,1.0,8.0,8.0,,,,,,,1.0
business objects,1.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,2.3333333333333335,,,,,,,3.0
businessobjects,,,,,,,,,,1.0,4.0,4.0,,,,,,,1.0
but also their dashboarding feature,1.0,2.0,2.0,,,,,,,,,,,,,,,,1.0
c,,,,1.0,1.0,1.6837606837606838,,,,,,,,,,1.0,5.0,5.152671755725191,2.0
c#,,,,,,,1.0,1.0,1.0,,,,,,,1.0,10.0,10.0,2.0
c++,,,,1.0,4.0,4.0,1.0,7.0,7.0,,,,,,,,,,2.0
c3,,,,,,,,,,,,,,,,2.0,7.0,7.0,2.0
cables.gl,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
cakephp,,,,,,,,,,,,,,,,1.0,7.0,7.0,1.0
cameo enterprise architecture,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
camtasia,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
canva,11.0,1.0,1.5833333333333333,4.0,1.0,3.5,1.0,1.0,1.0,3.0,8.0,8.278846153846153,,,,,,,19.0
canva [not ],1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
canvas,112.0,7.0,8.428571428571429,121.0,7.0,7.619834710743802,109.0,8.0,7.944954128440367,101.0,8.0,8.386138613861386,,,,,,,443.0
carto,1.0,2.0,2.0,2.0,2.5,2.5,2.0,2.5,2.5,4.0,10.0,9.5,3.0,5.0,5.333333333333333,5.0,8.5,8.5,17.0
carto (built on kepler.gl,1.0,2.0,2.0,,,,,,,,,,,,,,,,1.0
cartodb,,,,,,,,,,,,,,,,1.0,9.0,9.0,1.0
celonis,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
ceros,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
cesium,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0
cesium.js,,,,,,,,,,1.0,5.0,5.0,,,,,,,1.0
cesiumjs,,,,,,,,,,,,,1.0,6.0,6.0,,,,1.0
chap-links,,,,,,,,,,,,,1.0,4.0,4.0,,,,1.0
chart js,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
chart tool,,,,,,,,,,,,,,,,1.0,8.0,8.0,1.0
chart.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,6.0,5.666666666666667,1.0,6.0,6.0,7.0
charticulator,,,,,,,1.0,1.0,1.0,1.0,6.0,6.0,,,,,,,2.0
chartio,,,,,,,,,,2.0,3.0,3.0,,,,1.0,5.0,5.0,3.0
chartjs,1.0,1.0,1.0,,,,,,,1.0,4.0,4.0,,,,,,,2.0
cinema 4d,1.0,3.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,2.0
clay,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
clickup,1.0,6.0,6.0,,,,,,,,,,,,,,,,1.0
clojure,,,,,,,1.0,4.0,4.0,,,,,,,1.0,12.0,12.0,2.0
cloudviz,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
cmap tools,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
coda,1.0,6.0,6.0,,,,,,,,,,,,,,,,1.0
codap,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0
cognos,,,,2.0,1.0,1.5,3.0,1.0,1.375,2.0,2.0,3.6666666666666665,2.0,7.5,7.5,2.0,5.5,4.75,11.0
cognos analytics,,,,1.0,1.0,1.0,2.0,1.0,1.4,,,,,,,,,,3.0
cognos bi,,,,,,,,,,,,,,,,2.0,4.0,4.0,2.0
communalytic,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
contour from forio,,,,,,,,,,,,,,,,1.0,4.0,4.0,1.0
corel draw,,,,,,,,,,,,,,,,1.0,10.0,10.0,1.0
coreldraw,,,,,,,,,,1.0,7.0,7.0,,,,,,,1.0
count,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
crm (former einstein analytics),,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0
crm (salesforce),,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
crm analytics (formerly  crm),1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
crm analytics (salesforce native tool),1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
crossfilter,,,,,,,,,,,,,,,,1.0,6.0,6.0,1.0
crystal reports,,,,,,,,,,,,,1.0,4.0,4.0,,,,1.0
css,1.0,3.0,3.0,,,,,,,1.0,17.0,17.0,,,,,,,2.0
css. also,,,,,,,1.0,5.0,5.0,,,,,,,,,,1.0
csvkit,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0
custom,,,,,,,1.0,1.5,1.5,,,,1.0,5.5,6.0,,,,2.0
custom charting library,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
custom charting tools,,,,,,,,,,,,,,,,2.0,4.5,4.5,2.0
custom code,,,,1.0,1.0,1.0,,,,,,,1.0,9.0,9.0,,,,2.0
custom dashboard,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0
custom go,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0
custom jupyter widgets,,,,,,,,,,,,,1.0,4.0,4.0,,,,1.0
custom tool,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
cytoscape,1.0,1.0,1.0,,,,17.0,8.0,9.529411764705882,25.0,7.0,8.52,17.0,7.0,7.294117647058823,14.0,6.0,6.642857142857143,74.0
cytoscape.js,,,,,,,,,,1.0,13.0,13.0,,,,,,,1.0
d3,,,,,,,,,,463.0,6.0,6.833693304535637,361.0,6.0,6.016620498614959,535.0,5.0,5.760747663551402,1359.0
d3.js,266.0,7.0,8.289473684210526,414.0,6.0,6.6980676328502415,376.0,6.0,6.752659574468085,,,,,,,,,,1056.0
d3plus,,,,1.0,1.0,1.0,,,,,,,2.0,3.5,3.5,,,,3.0
dapresy,,,,2.0,1.5,1.5,,,,,,,,,,,,,2.0
dart,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,2.0
data illustrator,,,,,,,,,,1.0,6.0,6.0,4.0,6.5,6.0,,,,5.0
data studio,,,,,,,2.0,1.0,1.6153846153846154,2.0,4.5,5.583333333333333,,,,,,,4.0
data visualizer,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
data wrapper,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0
databricks,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0
datacubes,,,,,,,,,,1.0,8.0,8.0,,,,,,,1.0
datadog,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0
datagraph,1.0,2.0,2.0,,,,,,,,,,,,,,,,1.0
dataiku,,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0
datamatic,,,,1.0,11.0,11.0,,,,,,,,,,,,,1.0
datashader,,,,1.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,,,,1.0,7.0,7.0,4.0
